"Issue Id","Issue Type","Summary","Description","Parent","Labels"
"E1","Epic","Épica 1: Autenticación, seguridad y gestión de perfiles","Registro, login, logout y protección de recursos.","","autenticacion"
"S1","Story","HU01: Como estudiante quiero registrarme e iniciar sesión para configurar mi saldo y registrar mis gastos de forma segura","","E1","autenticacion"
"T1","Sub-task","1.1 Modelo y migración User (email, password_digest, current_balance)","Validaciones y restricciones en BD.","S1","backend"
"T2","Sub-task","1.2 Servicio JWT con expiración y revocación de token (jti)","JsonWebToken y tabla revoked_tokens.","S1","backend"
"T3","Sub-task","1.3 Endpoints POST /auth/signup, POST /auth/login, DELETE /auth/logout, GET /auth/me","Respuestas JSON estandarizadas y códigos HTTP correctos.","S1","backend"
"T4","Sub-task","1.4 Formularios React de login y registro con validaciones y manejo de errores","","S1","frontend"
"T5","Sub-task","1.5 Rutas protegidas y restauración de sesión en el frontend","","S1","frontend"
"E2","Epic","Épica 2: Catálogo de locales y gestión de menús con precios","CRUD de locales y platos.","","catalogo"
"S2","Story","HU02: Como estudiante quiero explorar locales y ver la carta con precios vigentes","","E2","catalogo"
"T6","Sub-task","2.1 Migraciones y modelos Restaurant y MenuItem (relación 1:N, índices)","","S2","backend"
"T7","Sub-task","2.2 RestaurantsController CRUD con filtros por categoría y búsqueda","","S2","backend"
"T8","Sub-task","2.3 Pantalla React CRUD de Locales","","S2","frontend"
"S3","Story","HU03: Como usuario quiero crear y actualizar los platos de la carta con sus precios","Sin roles en esta entrega (Tarea 2).","E2","catalogo"
"T9","Sub-task","3.1 MenuItemsController CRUD con validación de precio positivo y filtros de precio","","S3","backend"
"T10","Sub-task","3.2 Pantalla React CRUD de Platos","","S3","frontend"
"E3","Epic","Épica 3: Motor recomendador y control presupuestario diario","Recomendaciones y registro de gastos.","","presupuesto"
"S4","Story","HU04: Como estudiante quiero ingresar mi saldo y recibir recomendaciones de qué menús puedo costear hoy","","E3","presupuesto"
"T11","Sub-task","4.1 BudgetRecommendationService (presupuesto diario según días hábiles restantes)","","S4","backend"
"T12","Sub-task","4.2 Endpoint GET /recommendations?budget=","","S4","backend"
"T13","Sub-task","4.3 Componente React con slider de saldo","","S4","frontend"
"S5","Story","HU05: Como estudiante quiero registrar y gestionar mis gastos para controlar mi saldo","CRUD de gastos por usuario.","E3","presupuesto"
"T14","Sub-task","5.1 Migración y modelo Expense (FK a users y menu_items)","","S5","backend"
"T15","Sub-task","5.2 ExpensesController CRUD limitado al usuario autenticado","","S5","backend"
"T16","Sub-task","5.3 Pantalla React CRUD de Gastos","","S5","frontend"
"E4","Epic","Épica 4: Infraestructura, despliegue y documentación","Trabajo transversal de la entrega.","","infra"
"S6","Story","HU06: Como equipo queremos la aplicación desplegada y documentada para su evaluación","","E4","infra"
"T17","Sub-task","6.1 Deploy de la API y la base PostgreSQL","","S6","infra"
"T18","Sub-task","6.2 Deploy del frontend React","","S6","infra"
"T19","Sub-task","6.3 README con arquitectura, modelo de datos, variables y credenciales de prueba","","S6","docs"
"T20","Sub-task","6.4 Configurar repositorio, ramas protegidas y tablero Jira","","S6","infra"
